Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
Breaking Bad;Drug manufacturer/dealer adventures;2008;1;20
Days of our Lives;Long running series;1965;11;8
